Fiscal Year,TIF Number,TIF District,Type,Activity,Amount
2006,T-082,Belmont/Cicero,Expenditures,"Admin., studies & services",-25336
2003,T-082,Belmont/Cicero,Expenditures,"Admin., studies & services",-8434
2005,T-082,Belmont/Cicero,Expenditures,"Admin., studies & services",-18047
2002,T-082,Belmont/Cicero,Expenditures,"Admin., studies & services",-7492
2011,T-082,Belmont/Cicero,Expenditures,"Admin., studies & services",-21899
2012,T-082,Belmont/Cicero,Expenditures,"Admin., studies & services",-26236
2014,T-082,Belmont/Cicero,Expenditures,"Admin., studies & services",-27577
2013,T-082,Belmont/Cicero,Expenditures,"Admin., studies & services",-22594
2008,T-012,Bloomingdale/Laramie,Expenditures,"Admin., studies & services",0
2006,T-012,Bloomingdale/Laramie,Expenditures,"Admin., studies & services",-1
2009,T-061,Bronzeville,Expenditures,"Admin., studies & services",-98550
2008,T-061,Bronzeville,Expenditures,"Admin., studies & services",-82849
2007,T-061,Bronzeville,Expenditures,"Admin., studies & services",-70538
2004,T-061,Bronzeville,Expenditures,"Admin., studies & services",-36170
2002,T-061,Bronzeville,Expenditures,"Admin., studies & services",-19616
2005,T-061,Bronzeville,Expenditures,"Admin., studies & services",-85298
2003,T-061,Bronzeville,Expenditures,"Admin., studies & services",-25641
2006,T-061,Bronzeville,Expenditures,"Admin., studies & services",-63365
2010,T-061,Bronzeville,Expenditures,"Admin., studies & services",-70900
2001,T-061,Bronzeville,Expenditures,"Admin., studies & services",-10421
2014,T-061,Bronzeville,Expenditures,"Admin., studies & services",-84800
2012,T-061,Bronzeville,Expenditures,"Admin., studies & services",-469939
2013,T-061,Bronzeville,Expenditures,"Admin., studies & services",-561574
2011,T-061,Bronzeville,Expenditures,"Admin., studies & services",-55267
2005,T-013,Bryn Mawr/Broadway,Expenditures,"Admin., studies & services",-89385
2001,T-013,Bryn Mawr/Broadway,Expenditures,"Admin., studies & services",-19666
2004,T-013,Bryn Mawr/Broadway,Expenditures,"Admin., studies & services",-28638
2009,T-013,Bryn Mawr/Broadway,Expenditures,"Admin., studies & services",-40044
2006,T-013,Bryn Mawr/Broadway,Expenditures,"Admin., studies & services",-48805
2003,T-013,Bryn Mawr/Broadway,Expenditures,"Admin., studies & services",-18832
2008,T-013,Bryn Mawr/Broadway,Expenditures,"Admin., studies & services",-41155
2002,T-013,Bryn Mawr/Broadway,Expenditures,"Admin., studies & services",-11484
2007,T-013,Bryn Mawr/Broadway,Expenditures,"Admin., studies & services",-32166
2010,T-013,Bryn Mawr/Broadway,Expenditures,"Admin., studies & services",-48153
2014,T-013,Bryn Mawr/Broadway,Expenditures,"Admin., studies & services",-42658
2012,T-013,Bryn Mawr/Broadway,Expenditures,"Admin., studies & services",-66523
2013,T-013,Bryn Mawr/Broadway,Expenditures,"Admin., studies & services",-44220
2011,T-013,Bryn Mawr/Broadway,Expenditures,"Admin., studies & services",-32096
2011,T-168,Calumet River,Expenditures,"Admin., studies & services",0
2013,T-168,Calumet River,Expenditures,"Admin., studies & services",0
2010,T-168,Calumet River,Expenditures,"Admin., studies & services",0
2012,T-168,Calumet River,Expenditures,"Admin., studies & services",0
2004,T-059,Calumet Avenue/Cermak Road,Expenditures,"Admin., studies & services",-174612
2009,T-059,Calumet Avenue/Cermak Road,Expenditures,"Admin., studies & services",-157649
2008,T-059,Calumet Avenue/Cermak Road,Expenditures,"Admin., studies & services",-149153
2005,T-059,Calumet Avenue/Cermak Road,Expenditures,"Admin., studies & services",-152162
2002,T-059,Calumet Avenue/Cermak Road,Expenditures,"Admin., studies & services",-16010
2006,T-059,Calumet Avenue/Cermak Road,Expenditures,"Admin., studies & services",-223844
2001,T-059,Calumet Avenue/Cermak Road,Expenditures,"Admin., studies & services",-13318
2010,T-059,Calumet Avenue/Cermak Road,Expenditures,"Admin., studies & services",-97862
2003,T-059,Calumet Avenue/Cermak Road,Expenditures,"Admin., studies & services",-198539
2007,T-059,Calumet Avenue/Cermak Road,Expenditures,"Admin., studies & services",-152839
2013,T-059,Calumet Avenue/Cermak Road,Expenditures,"Admin., studies & services",-172743
2012,T-059,Calumet Avenue/Cermak Road,Expenditures,"Admin., studies & services",-170343
2014,T-059,Calumet Avenue/Cermak Road,Expenditures,"Admin., studies & services",-214700
2011,T-059,Calumet Avenue/Cermak Road,Expenditures,"Admin., studies & services",-101551
2001,T-063,Canal/Congress,Expenditures,"Admin., studies & services",-92708
2008,T-063,Canal/Congress,Expenditures,"Admin., studies & services",-303127
2006,T-063,Canal/Congress,Expenditures,"Admin., studies & services",-320925
2009,T-063,Canal/Congress,Expenditures,"Admin., studies & services",-344516
2003,T-063,Canal/Congress,Expenditures,"Admin., studies & services",-180924
2010,T-063,Canal/Congress,Expenditures,"Admin., studies & services",-304864
2005,T-063,Canal/Congress,Expenditures,"Admin., studies & services",-202240
2002,T-063,Canal/Congress,Expenditures,"Admin., studies & services",-58813
2007,T-063,Canal/Congress,Expenditures,"Admin., studies & services",-310449
2004,T-063,Canal/Congress,Expenditures,"Admin., studies & services",-185881
2012,T-063,Canal/Congress,Expenditures,"Admin., studies & services",-374248
2014,T-063,Canal/Congress,Expenditures,"Admin., studies & services",-462938
2013,T-063,Canal/Congress,Expenditures,"Admin., studies & services",-365004
2011,T-063,Canal/Congress,Expenditures,"Admin., studies & services",-215929
2008,T-014,Central Loop,Expenditures,"Admin., studies & services",-2322359
2006,T-014,Central Loop,Expenditures,"Admin., studies & services",-2397557
2005,T-014,Central Loop,Expenditures,"Admin., studies & services",-1551926
2004,T-014,Central Loop,Expenditures,"Admin., studies & services",-1523387
2002,T-014,Central Loop,Expenditures,"Admin., studies & services",-1792309
2001,T-014,Central Loop,Expenditures,"Admin., studies & services",-2065849
2007,T-014,Central Loop,Expenditures,"Admin., studies & services",-2618948
2003,T-014,Central Loop,Expenditures,"Admin., studies & services",-1549063
2007,T-086,Central West,Expenditures,"Admin., studies & services",-471412
2008,T-086,Central West,Expenditures,"Admin., studies & services",-366687
2003,T-086,Central West,Expenditures,"Admin., studies & services",-74958
2010,T-086,Central West,Expenditures,"Admin., studies & services",-250548
2004,T-086,Central West,Expenditures,"Admin., studies & services",-153694
2006,T-086,Central West,Expenditures,"Admin., studies & services",-218327
2001,T-086,Central West,Expenditures,"Admin., studies & services",-15948
2009,T-086,Central West,Expenditures,"Admin., studies & services",-253867
2005,T-086,Central West,Expenditures,"Admin., studies & services",-169310
2002,T-086,Central West,Expenditures,"Admin., studies & services",-61179
2013,T-086,Central West,Expenditures,"Admin., studies & services",-274605
2012,T-086,Central West,Expenditures,"Admin., studies & services",-391994
2014,T-086,Central West,Expenditures,"Admin., studies & services",-330454
2011,T-086,Central West,Expenditures,"Admin., studies & services",-189474
2006,T-015,Chatham-Ridge,Expenditures,"Admin., studies & services",-46081
2001,T-015,Chatham-Ridge,Expenditures,"Admin., studies & services",-28029
2005,T-015,Chatham-Ridge,Expenditures,"Admin., studies & services",-27756
2010,T-015,Chatham-Ridge,Expenditures,"Admin., studies & services",-23991
2007,T-015,Chatham-Ridge,Expenditures,"Admin., studies & services",-34223
2009,T-015,Chatham-Ridge,Expenditures,"Admin., studies & services",-37126
2003,T-015,Chatham-Ridge,Expenditures,"Admin., studies & services",-40665
2002,T-015,Chatham-Ridge,Expenditures,"Admin., studies & services",-49125
2004,T-015,Chatham-Ridge,Expenditures,"Admin., studies & services",-31360
2008,T-015,Chatham-Ridge,Expenditures,"Admin., studies & services",-40210
2011,T-015,Chatham-Ridge,Expenditures,"Admin., studies & services",-28820
2013,T-170,Chicago Lakeside Development Ph.1,Expenditures,"Admin., studies & services",0
2011,T-170,Chicago Lakeside Development Ph.1,Expenditures,"Admin., studies & services",0
2010,T-170,Chicago Lakeside Development Ph.1,Expenditures,"Admin., studies & services",0
2012,T-170,Chicago Lakeside Development Ph.1,Expenditures,"Admin., studies & services",0
2006,T-115,Chicago/Central Park,Expenditures,"Admin., studies & services",-60903
2008,T-115,Chicago/Central Park,Expenditures,"Admin., studies & services",-156389
2004,T-115,Chicago/Central Park,Expenditures,"Admin., studies & services",-35627
2009,T-115,Chicago/Central Park,Expenditures,"Admin., studies & services",-145753
2003,T-115,Chicago/Central Park,Expenditures,"Admin., studies & services",-6038
2007,T-115,Chicago/Central Park,Expenditures,"Admin., studies & services",-110343
2005,T-115,Chicago/Central Park,Expenditures,"Admin., studies & services",-37205
2012,T-115,Chicago/Central Park,Expenditures,"Admin., studies & services",-205048
2010,T-115,Chicago/Central Park,Expenditures,"Admin., studies & services",-131204
2013,T-115,Chicago/Central Park,Expenditures,"Admin., studies & services",-126329
2014,T-115,Chicago/Central Park,Expenditures,"Admin., studies & services",-129137
2011,T-115,Chicago/Central Park,Expenditures,"Admin., studies & services",-294384
2004,T-094,Chicago/Kingsbury,Expenditures,"Admin., studies & services",-75020
2003,T-094,Chicago/Kingsbury,Expenditures,"Admin., studies & services",-47657
2008,T-094,Chicago/Kingsbury,Expenditures,"Admin., studies & services",-184412
2002,T-094,Chicago/Kingsbury,Expenditures,"Admin., studies & services",-15205
2005,T-094,Chicago/Kingsbury,Expenditures,"Admin., studies & services",-107888
2009,T-094,Chicago/Kingsbury,Expenditures,"Admin., studies & services",-198532
2001,T-094,Chicago/Kingsbury,Expenditures,"Admin., studies & services",-4117
2007,T-094,Chicago/Kingsbury,Expenditures,"Admin., studies & services",-169200
2006,T-094,Chicago/Kingsbury,Expenditures,"Admin., studies & services",-246739
2014,T-094,Chicago/Kingsbury,Expenditures,"Admin., studies & services",-454298
2011,T-094,Chicago/Kingsbury,Expenditures,"Admin., studies & services",-185930
2013,T-094,Chicago/Kingsbury,Expenditures,"Admin., studies & services",-361124
2010,T-094,Chicago/Kingsbury,Expenditures,"Admin., studies & services",-263261
2012,T-094,Chicago/Kingsbury,Expenditures,"Admin., studies & services",-297078
2003,T-016,Chinatown Basin,Expenditures,"Admin., studies & services",-39258
2010,T-016,Chinatown Basin,Expenditures,"Admin., studies & services",-47029
2009,T-016,Chinatown Basin,Expenditures,"Admin., studies & services",-56200
2005,T-016,Chinatown Basin,Expenditures,"Admin., studies & services",-44893
2001,T-016,Chinatown Basin,Expenditures,"Admin., studies & services",-32407
2008,T-016,Chinatown Basin,Expenditures,"Admin., studies & services",-45424
2004,T-016,Chinatown Basin,Expenditures,"Admin., studies & services",-42885
2006,T-016,Chinatown Basin,Expenditures,"Admin., studies & services",-57683
2007,T-016,Chinatown Basin,Expenditures,"Admin., studies & services",-55196
2002,T-016,Chinatown Basin,Expenditures,"Admin., studies & services",-77273
2011,T-016,Chinatown Basin,Expenditures,"Admin., studies & services",0
2006,T-096,Cicero/Archer,Expenditures,"Admin., studies & services",-20058
2008,T-096,Cicero/Archer,Expenditures,"Admin., studies & services",-20875
2007,T-096,Cicero/Archer,Expenditures,"Admin., studies & services",-31323
2002,T-096,Cicero/Archer,Expenditures,"Admin., studies & services",-3960
2004,T-096,Cicero/Archer,Expenditures,"Admin., studies & services",-12434
2003,T-096,Cicero/Archer,Expenditures,"Admin., studies & services",-8270
2005,T-096,Cicero/Archer,Expenditures,"Admin., studies & services",-17116
2001,T-096,Cicero/Archer,Expenditures,"Admin., studies & services",-2049
2009,T-096,Cicero/Archer,Expenditures,"Admin., studies & services",-20527
2010,T-096,Cicero/Archer,Expenditures,"Admin., studies & services",-16742
2014,T-096,Cicero/Archer,Expenditures,"Admin., studies & services",-14287
2012,T-096,Cicero/Archer,Expenditures,"Admin., studies & services",-18273
2011,T-096,Cicero/Archer,Expenditures,"Admin., studies & services",-13009
2013,T-096,Cicero/Archer,Expenditures,"Admin., studies & services",-23772
2002,T-070,Clark/Montrose,Expenditures,"Admin., studies & services",-9744
2006,T-070,Clark/Montrose,Expenditures,"Admin., studies & services",-28613
2007,T-070,Clark/Montrose,Expenditures,"Admin., studies & services",-35575
2001,T-070,Clark/Montrose,Expenditures,"Admin., studies & services",-7493
2005,T-070,Clark/Montrose,Expenditures,"Admin., studies & services",-21421
2010,T-070,Clark/Montrose,Expenditures,"Admin., studies & services",-41845
2008,T-070,Clark/Montrose,Expenditures,"Admin., studies & services",-40179
2004,T-070,Clark/Montrose,Expenditures,"Admin., studies & services",-21064
2003,T-070,Clark/Montrose,Expenditures,"Admin., studies & services",-10961
2009,T-070,Clark/Montrose,Expenditures,"Admin., studies & services",-45936
2013,T-070,Clark/Montrose,Expenditures,"Admin., studies & services",-47878
2014,T-070,Clark/Montrose,Expenditures,"Admin., studies & services",-57572
2011,T-070,Clark/Montrose,Expenditures,"Admin., studies & services",-37782
2012,T-070,Clark/Montrose,Expenditures,"Admin., studies & services",-66656
2008,T-074,Clark Street and Ridge Avenue,Expenditures,"Admin., studies & services",-37988
2002,T-074,Clark Street and Ridge Avenue,Expenditures,"Admin., studies & services",-9097
2001,T-074,Clark Street and Ridge Avenue,Expenditures,"Admin., studies & services",-3613
2004,T-074,Clark Street and Ridge Avenue,Expenditures,"Admin., studies & services",-24271
2006,T-074,Clark Street and Ridge Avenue,Expenditures,"Admin., studies & services",-28564
2005,T-074,Clark Street and Ridge Avenue,Expenditures,"Admin., studies & services",-26604
2003,T-074,Clark Street and Ridge Avenue,Expenditures,"Admin., studies & services",-58395
2009,T-074,Clark Street and Ridge Avenue,Expenditures,"Admin., studies & services",-38015
2010,T-074,Clark Street and Ridge Avenue,Expenditures,"Admin., studies & services",-44983
2007,T-074,Clark Street and Ridge Avenue,Expenditures,"Admin., studies & services",-31816
2014,T-074,Clark Street and Ridge Avenue,Expenditures,"Admin., studies & services",-64675
2012,T-074,Clark Street and Ridge Avenue,Expenditures,"Admin., studies & services",-66352
2013,T-074,Clark Street and Ridge Avenue,Expenditures,"Admin., studies & services",-59941
2011,T-074,Clark Street and Ridge Avenue,Expenditures,"Admin., studies & services",-37995
2006,T-128,Commercial Avenue,Expenditures,"Admin., studies & services",-27652
2009,T-128,Commercial Avenue,Expenditures,"Admin., studies & services",-31769
2008,T-128,Commercial Avenue,Expenditures,"Admin., studies & services",-33568
2005,T-128,Commercial Avenue,Expenditures,"Admin., studies & services",-18190
2003,T-128,Commercial Avenue,Expenditures,"Admin., studies & services",-2149
2007,T-128,Commercial Avenue,Expenditures,"Admin., studies & services",-30526
2004,T-128,Commercial Avenue,Expenditures,"Admin., studies & services",-16317
2014,T-128,Commercial Avenue,Expenditures,"Admin., studies & services",-27824
2012,T-128,Commercial Avenue,Expenditures,"Admin., studies & services",-43687
2010,T-128,Commercial Avenue,Expenditures,"Admin., studies & services",-32681
2011,T-128,Commercial Avenue,Expenditures,"Admin., studies & services",-24881
2013,T-128,Commercial Avenue,Expenditures,"Admin., studies & services",-35046
2009,T-134,Devon/Sheridan,Expenditures,"Admin., studies & services",-11106
2008,T-134,Devon/Sheridan,Expenditures,"Admin., studies & services",-12260
2005,T-134,Devon/Sheridan,Expenditures,"Admin., studies & services",-5983
2007,T-134,Devon/Sheridan,Expenditures,"Admin., studies & services",-9604
2006,T-134,Devon/Sheridan,Expenditures,"Admin., studies & services",-20756
2012,T-134,Devon/Sheridan,Expenditures,"Admin., studies & services",-11149
2014,T-134,Devon/Sheridan,Expenditures,"Admin., studies & services",-13968
2011,T-134,Devon/Sheridan,Expenditures,"Admin., studies & services",-13826
2013,T-134,Devon/Sheridan,Expenditures,"Admin., studies & services",-13938
2010,T-134,Devon/Sheridan,Expenditures,"Admin., studies & services",-13056
2006,T-076,Devon/Western,Expenditures,"Admin., studies & services",-47073
2005,T-076,Devon/Western,Expenditures,"Admin., studies & services",-30202
2009,T-076,Devon/Western,Expenditures,"Admin., studies & services",-55059
2004,T-076,Devon/Western,Expenditures,"Admin., studies & services",-31742
2008,T-076,Devon/Western,Expenditures,"Admin., studies & services",-47572
2003,T-076,Devon/Western,Expenditures,"Admin., studies & services",-17199
2002,T-076,Devon/Western,Expenditures,"Admin., studies & services",-139269
2007,T-076,Devon/Western,Expenditures,"Admin., studies & services",-35074
2001,T-076,Devon/Western,Expenditures,"Admin., studies & services",-5782
2010,T-076,Devon/Western,Expenditures,"Admin., studies & services",-56039
2014,T-076,Devon/Western,Expenditures,"Admin., studies & services",-51909
2011,T-076,Devon/Western,Expenditures,"Admin., studies & services",-80249
2013,T-076,Devon/Western,Expenditures,"Admin., studies & services",-49373
2012,T-076,Devon/Western,Expenditures,"Admin., studies & services",-71213
2005,T-129,Diversey/Narragansett,Expenditures,"Admin., studies & services",-4632
2006,T-129,Diversey/Narragansett,Expenditures,"Admin., studies & services",-36768
2008,T-129,Diversey/Narragansett,Expenditures,"Admin., studies & services",-41584
2007,T-129,Diversey/Narragansett,Expenditures,"Admin., studies & services",-35489
2009,T-129,Diversey/Narragansett,Expenditures,"Admin., studies & services",-44171
2012,T-129,Diversey/Narragansett,Expenditures,"Admin., studies & services",-40854
2013,T-129,Diversey/Narragansett,Expenditures,"Admin., studies & services",-50807
2011,T-129,Diversey/Narragansett,Expenditures,"Admin., studies & services",-36456
2010,T-129,Diversey/Narragansett,Expenditures,"Admin., studies & services",-27427
2014,T-129,Diversey/Narragansett,Expenditures,"Admin., studies & services",-57668
2006,T-107,Division/Homan,Expenditures,"Admin., studies & services",-17545
2009,T-107,Division/Homan,Expenditures,"Admin., studies & services",-26155
2003,T-107,Division/Homan,Expenditures,"Admin., studies & services",-6175
2005,T-107,Division/Homan,Expenditures,"Admin., studies & services",-12405
2002,T-107,Division/Homan,Expenditures,"Admin., studies & services",-563
2004,T-107,Division/Homan,Expenditures,"Admin., studies & services",-11715
2008,T-107,Division/Homan,Expenditures,"Admin., studies & services",-30424
2007,T-107,Division/Homan,Expenditures,"Admin., studies & services",-30523
2010,T-107,Division/Homan,Expenditures,"Admin., studies & services",-27422
2014,T-107,Division/Homan,Expenditures,"Admin., studies & services",-25931
2013,T-107,Division/Homan,Expenditures,"Admin., studies & services",-39438
2011,T-107,Division/Homan,Expenditures,"Admin., studies & services",-31166
2012,T-107,Division/Homan,Expenditures,"Admin., studies & services",-34514
2009,T-017,Division-Hooker,Expenditures,"Admin., studies & services",-6536
2004,T-017,Division-Hooker,Expenditures,"Admin., studies & services",-7610
2007,T-017,Division-Hooker,Expenditures,"Admin., studies & services",-7974
2001,T-017,Division-Hooker,Expenditures,"Admin., studies & services",-9131
2006,T-017,Division-Hooker,Expenditures,"Admin., studies & services",-8292
2008,T-017,Division-Hooker,Expenditures,"Admin., studies & services",-7280
2003,T-017,Division-Hooker,Expenditures,"Admin., studies & services",-8181
2002,T-017,Division-Hooker,Expenditures,"Admin., studies & services",-8699
2005,T-017,Division-Hooker,Expenditures,"Admin., studies & services",-7180
2010,T-017,Division-Hooker,Expenditures,"Admin., studies & services",-4929
2011,T-017,Division-Hooker,Expenditures,"Admin., studies & services",-4990
2012,T-017,Division-Hooker,Expenditures,"Admin., studies & services",-5649
2006,T-018,Division/North Branch,Expenditures,"Admin., studies & services",-18083
2004,T-018,Division/North Branch,Expenditures,"Admin., studies & services",-14473
2003,T-018,Division/North Branch,Expenditures,"Admin., studies & services",-17134
2008,T-018,Division/North Branch,Expenditures,"Admin., studies & services",-9166
2010,T-018,Division/North Branch,Expenditures,"Admin., studies & services",-13270
2005,T-018,Division/North Branch,Expenditures,"Admin., studies & services",-13500
2009,T-018,Division/North Branch,Expenditures,"Admin., studies & services",-18361
2001,T-018,Division/North Branch,Expenditures,"Admin., studies & services",-10434
2002,T-018,Division/North Branch,Expenditures,"Admin., studies & services",-9829
2007,T-018,Division/North Branch,Expenditures,"Admin., studies & services",-18075
2012,T-018,Division/North Branch,Expenditures,"Admin., studies & services",-8514
2011,T-018,Division/North Branch,Expenditures,"Admin., studies & services",-9392
2009,T-122,Drexel Boulevard,Expenditures,"Admin., studies & services",-2637
2008,T-122,Drexel Boulevard,Expenditures,"Admin., studies & services",-3993
2006,T-122,Drexel Boulevard,Expenditures,"Admin., studies & services",-720
2007,T-122,Drexel Boulevard,Expenditures,"Admin., studies & services",-2306
2013,T-122,Drexel Boulevard,Expenditures,"Admin., studies & services",-6521
2008,T-019,Eastman/North Branch,Expenditures,"Admin., studies & services",-7132
2005,T-019,Eastman/North Branch,Expenditures,"Admin., studies & services",-6333
2004,T-019,Eastman/North Branch,Expenditures,"Admin., studies & services",-6505
2002,T-019,Eastman/North Branch,Expenditures,"Admin., studies & services",-6254
2006,T-019,Eastman/North Branch,Expenditures,"Admin., studies & services",-7321
2009,T-019,Eastman/North Branch,Expenditures,"Admin., studies & services",-6688
2010,T-019,Eastman/North Branch,Expenditures,"Admin., studies & services",-5838
2001,T-019,Eastman/North Branch,Expenditures,"Admin., studies & services",-7501
2003,T-019,Eastman/North Branch,Expenditures,"Admin., studies & services",-6136
2007,T-019,Eastman/North Branch,Expenditures,"Admin., studies & services",-8549
2012,T-019,Eastman/North Branch,Expenditures,"Admin., studies & services",-6504
2011,T-019,Eastman/North Branch,Expenditures,"Admin., studies & services",-5517
2003,T-020,Edgewater,Expenditures,"Admin., studies & services",-8527
2008,T-020,Edgewater,Expenditures,"Admin., studies & services",-9115
2006,T-020,Edgewater,Expenditures,"Admin., studies & services",-10083
2005,T-020,Edgewater,Expenditures,"Admin., studies & services",-6989
2009,T-020,Edgewater,Expenditures,"Admin., studies & services",-5965
2001,T-020,Edgewater,Expenditures,"Admin., studies & services",-9549
2004,T-020,Edgewater,Expenditures,"Admin., studies & services",-9864
2002,T-020,Edgewater,Expenditures,"Admin., studies & services",-9017
2007,T-020,Edgewater,Expenditures,"Admin., studies & services",-10029
2004,T-130,Edgewater/Ashland,Expenditures,"Admin., studies & services",-2798
2008,T-130,Edgewater/Ashland,Expenditures,"Admin., studies & services",-8648
2005,T-130,Edgewater/Ashland,Expenditures,"Admin., studies & services",-31825
2009,T-130,Edgewater/Ashland,Expenditures,"Admin., studies & services",-4275
2007,T-130,Edgewater/Ashland,Expenditures,"Admin., studies & services",-3919
2006,T-130,Edgewater/Ashland,Expenditures,"Admin., studies & services",-30994
2011,T-130,Edgewater/Ashland,Expenditures,"Admin., studies & services",-5503
2014,T-130,Edgewater/Ashland,Expenditures,"Admin., studies & services",-25266
2013,T-130,Edgewater/Ashland,Expenditures,"Admin., studies & services",-19775
2012,T-130,Edgewater/Ashland,Expenditures,"Admin., studies & services",-7295
2010,T-130,Edgewater/Ashland,Expenditures,"Admin., studies & services",-10524
2008,T-153,Elston/Armstrong Industrial Corridor,Expenditures,"Admin., studies & services",-5230
2009,T-153,Elston/Armstrong Industrial Corridor,Expenditures,"Admin., studies & services",-11895
2014,T-153,Elston/Armstrong Industrial Corridor,Expenditures,"Admin., studies & services",-11085
2013,T-153,Elston/Armstrong Industrial Corridor,Expenditures,"Admin., studies & services",-19672
2010,T-153,Elston/Armstrong Industrial Corridor,Expenditures,"Admin., studies & services",-10111
2012,T-153,Elston/Armstrong Industrial Corridor,Expenditures,"Admin., studies & services",-7749
2011,T-153,Elston/Armstrong Industrial Corridor,Expenditures,"Admin., studies & services",-9427
2005,T-021,Englewood Mall,Expenditures,"Admin., studies & services",-11700
2002,T-021,Englewood Mall,Expenditures,"Admin., studies & services",-14355
2006,T-021,Englewood Mall,Expenditures,"Admin., studies & services",-21194
2004,T-021,Englewood Mall,Expenditures,"Admin., studies & services",-15533
2010,T-021,Englewood Mall,Expenditures,"Admin., studies & services",-15696
2001,T-021,Englewood Mall,Expenditures,"Admin., studies & services",-11215
2009,T-021,Englewood Mall,Expenditures,"Admin., studies & services",-8900
2003,T-021,Englewood Mall,Expenditures,"Admin., studies & services",-8968
2008,T-021,Englewood Mall,Expenditures,"Admin., studies & services",-31050
2007,T-021,Englewood Mall,Expenditures,"Admin., studies & services",-24914
2014,T-021,Englewood Mall,Expenditures,"Admin., studies & services",-8563
2013,T-021,Englewood Mall,Expenditures,"Admin., studies & services",-27393
2011,T-021,Englewood Mall,Expenditures,"Admin., studies & services",-7362
2012,T-021,Englewood Mall,Expenditures,"Admin., studies & services",-8706
2003,T-106,Englewood Neighborhood,Expenditures,"Admin., studies & services",-20906
2004,T-106,Englewood Neighborhood,Expenditures,"Admin., studies & services",-32514
2007,T-106,Englewood Neighborhood,Expenditures,"Admin., studies & services",-78245
2013,T-095,Midwest,Expenditures,Financing,-2000821
2009,T-106,Englewood Neighborhood,Expenditures,"Admin., studies & services",-87701
2005,T-106,Englewood Neighborhood,Expenditures,"Admin., studies & services",-27267
2008,T-106,Englewood Neighborhood,Expenditures,"Admin., studies & services",-82783
2006,T-106,Englewood Neighborhood,Expenditures,"Admin., studies & services",-70598
2013,T-106,Englewood Neighborhood,Expenditures,"Admin., studies & services",-97651
2011,T-106,Englewood Neighborhood,Expenditures,"Admin., studies & services",-62354
2010,T-106,Englewood Neighborhood,Expenditures,"Admin., studies & services",-100964
2012,T-106,Englewood Neighborhood,Expenditures,"Admin., studies & services",-89940
2014,T-106,Englewood Neighborhood,Expenditures,"Admin., studies & services",-161896
2012,T-169,Ewing Avenue,Expenditures,"Admin., studies & services",-14059
2011,T-169,Ewing Avenue,Expenditures,"Admin., studies & services",-2098
2014,T-169,Ewing Avenue,Expenditures,"Admin., studies & services",-11845
2013,T-169,Ewing Avenue,Expenditures,"Admin., studies & services",-9656
2009,T-087,Fullerton/Milwaukee,Expenditures,"Admin., studies & services",-132926
2008,T-087,Fullerton/Milwaukee,Expenditures,"Admin., studies & services",-220449
2006,T-087,Fullerton/Milwaukee,Expenditures,"Admin., studies & services",-98055
2007,T-087,Fullerton/Milwaukee,Expenditures,"Admin., studies & services",-152586
2004,T-087,Fullerton/Milwaukee,Expenditures,"Admin., studies & services",-92160
2001,T-087,Fullerton/Milwaukee,Expenditures,"Admin., studies & services",-13813
2005,T-087,Fullerton/Milwaukee,Expenditures,"Admin., studies & services",-61136
2003,T-087,Fullerton/Milwaukee,Expenditures,"Admin., studies & services",-34364
2010,T-087,Fullerton/Milwaukee,Expenditures,"Admin., studies & services",-132506
2002,T-087,Fullerton/Milwaukee,Expenditures,"Admin., studies & services",-24650
2011,T-087,Fullerton/Milwaukee,Expenditures,"Admin., studies & services",-234567
2013,T-087,Fullerton/Milwaukee,Expenditures,"Admin., studies & services",-134921
2014,T-087,Fullerton/Milwaukee,Expenditures,"Admin., studies & services",-142933
2012,T-087,Fullerton/Milwaukee,Expenditures,"Admin., studies & services",-186605
2003,T-022,Fullteron/Normandy,Expenditures,"Admin., studies & services",-14350
2006,T-022,Fullteron/Normandy,Expenditures,"Admin., studies & services",-16587
2004,T-022,Fullteron/Normandy,Expenditures,"Admin., studies & services",-13475
2001,T-022,Fullteron/Normandy,Expenditures,"Admin., studies & services",-15487
2008,T-022,Fullteron/Normandy,Expenditures,"Admin., studies & services",-13409
2002,T-022,Fullteron/Normandy,Expenditures,"Admin., studies & services",-14679
2007,T-022,Fullteron/Normandy,Expenditures,"Admin., studies & services",-15202
2005,T-022,Fullteron/Normandy,Expenditures,"Admin., studies & services",-12891
2001,T-071,Galewood/Armitage Industrial,Expenditures,"Admin., studies & services",-11278
2004,T-071,Galewood/Armitage Industrial,Expenditures,"Admin., studies & services",-22778
2002,T-071,Galewood/Armitage Industrial,Expenditures,"Admin., studies & services",-10399
2009,T-071,Galewood/Armitage Industrial,Expenditures,"Admin., studies & services",-172401
2006,T-071,Galewood/Armitage Industrial,Expenditures,"Admin., studies & services",-52798
2007,T-071,Galewood/Armitage Industrial,Expenditures,"Admin., studies & services",-60039
2008,T-071,Galewood/Armitage Industrial,Expenditures,"Admin., studies & services",-67951
2003,T-071,Galewood/Armitage Industrial,Expenditures,"Admin., studies & services",-14248
2010,T-071,Galewood/Armitage Industrial,Expenditures,"Admin., studies & services",-199712
2005,T-071,Galewood/Armitage Industrial,Expenditures,"Admin., studies & services",-64569
2012,T-071,Galewood/Armitage Industrial,Expenditures,"Admin., studies & services",-77303
2014,T-071,Galewood/Armitage Industrial,Expenditures,"Admin., studies & services",-81795
