date,state,istrict,median_inc,%_bach_degree,clinton_over_BO,18_over_lean
5/25/17,Montana,At-Large CD,48380.00,0.30,-0.07,0.16
5/23/17,New York,AD-09,103602.00,0.37,-0.11,0.38
5/23/17,New Hampshire,Carroll HD-06,51051.00,0.41,0.06,0.15
5/23/17,New York,SD-30,40552.00,0.41,-0.02,0.00
5/23/17,New Hampshire,Hillsborough HD-44,N/A,N/A,-0.06,-0.01
5/16/17,Georgia,SD-32,98416.00,0.62,0.21,0.08
5/9/17,Oklahoma,HD-28,41272.00,0.14,-0.12,0.47
4/29/17,Louisiana,SD-02,44926.00,0.16,-0.05,0.61
4/25/17,Connecticut,HD-68,76970.00,0.32,-0.11,-0.23
4/11/17,Kansas,4th CD,51260.00,0.28,-0.02,0.23
4/4/17,California,34th CD,37136.00,0.24,0.04,0.18
2/28/17,Connecticut,SD-32,84965.00,0.41,-0.06,0.10
2/28/17,Connecticut,HD-115,49576.00,0.20,-0.21,0.07
2/28/17,Connecticut,SD-02,49211.00,0.28,-0.02,-0.20
2/25/17,Delaware,SD-10,93482.00,0.42,-0.05,0.05
2/14/17,Minnesota,HD-32B,74908.00,0.24,-0.17,0.21
1/31/17,Iowa,HD-89,50810.00,0.26,-0.16,0.32
